# 2012
signal_1300_650,jer,1.008654,1.008654,1.001206,1.001206,1.001206,1.001206,1.001206,1.001206
signal_1300_650,jes,1.041802,1.041802,1.009169,1.009169,1.009169,1.009169,1.009169,1.009169
signal_1300_650,mid,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000
signal_1300_650,pu,1.000240,1.000240,1.000930,1.000930,1.000930,1.000930,1.000930,1.000930
signal_1300_650,trig,1.000361,1.000361,1.000420,1.000420,1.000420,1.000420,1.000420,1.000420
signal_1400_700,jer,1.002607,1.002607,1.000660,1.000660,1.000660,1.000660,1.000660,1.000660
signal_1400_700,jes,1.031137,1.031137,1.006800,1.006800,1.006800,1.006800,1.006800,1.006800
signal_1400_700,mid,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000
signal_1400_700,pu,1.004144,1.004144,1.000563,1.000563,1.000563,1.000563,1.000563,1.000563
signal_1400_700,trig,1.000379,1.000379,1.000292,1.000292,1.000292,1.000292,1.000292,1.000292
signal_1500_750,jer,1.010316,1.010316,1.001066,1.001066,1.001066,1.001066,1.001066,1.001066
signal_1500_750,jes,1.035998,1.035998,1.005835,1.005835,1.005835,1.005835,1.005835,1.005835
signal_1500_750,mid,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000
signal_1500_750,pu,1.000606,1.000606,1.000339,1.000339,1.000339,1.000339,1.000339,1.000339
signal_1500_750,trig,1.000704,1.000704,1.000443,1.000443,1.000443,1.000443,1.000443,1.000443
signal_1600_800,jer,1.006907,1.006907,1.001507,1.001507,1.001507,1.001507,1.001507,1.001507
signal_1600_800,jes,1.046520,1.046520,1.005481,1.005481,1.005481,1.005481,1.005481,1.005481
signal_1600_800,mid,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000
signal_1600_800,pu,1.007212,1.007212,1.001401,1.001401,1.001401,1.001401,1.001401,1.001401
signal_1600_800,trig,1.001637,1.001637,1.000375,1.000375,1.000375,1.000375,1.000375,1.000375
signal_1700_850,jer,1.018934,1.018934,1.001240,1.001240,1.001240,1.001240,1.001240,1.001240
signal_1700_850,jes,1.022553,1.022553,1.004345,1.004345,1.004345,1.004345,1.004345,1.004345
signal_1700_850,mid,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000
signal_1700_850,pu,1.003650,1.003650,1.001018,1.001018,1.001018,1.001018,1.001018,1.001018
signal_1700_850,trig,1.000000,1.000000,1.000322,1.000322,1.000322,1.000322,1.000322,1.000322
signal_1800_900,jer,1.008449,1.008449,1.001768,1.001768,1.001768,1.001768,1.001768,1.001768
signal_1800_900,jes,1.035053,1.035053,1.005092,1.005092,1.005092,1.005092,1.005092,1.005092
signal_1800_900,mid,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000
signal_1800_900,pu,1.008417,1.008417,1.000141,1.000141,1.000141,1.000141,1.000141,1.000141
signal_1800_900,trig,1.000000,1.000000,1.000572,1.000572,1.000572,1.000572,1.000572,1.000572
signal_1900_950,jer,1.024123,1.024123,1.001340,1.001340,1.001340,1.001340,1.001340,1.001340
signal_1900_950,jes,1.026320,1.026320,1.003998,1.003998,1.003998,1.003998,1.003998,1.003998
signal_1900_950,mid,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000
signal_1900_950,pu,1.011185,1.011185,1.000092,1.000092,1.000092,1.000092,1.000092,1.000092
signal_1900_950,trig,1.000000,1.000000,1.000552,1.000552,1.000552,1.000552,1.000552,1.000552
signal_2000_1000,jer,1.008310,1.008310,1.001755,1.001755,1.001755,1.001755,1.001755,1.001755
signal_2000_1000,jes,1.017429,1.017429,1.003730,1.003730,1.003730,1.003730,1.003730,1.003730
signal_2000_1000,mid,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000
signal_2000_1000,pu,1.018044,1.018044,1.000205,1.000205,1.000205,1.000205,1.000205,1.000205
signal_2000_1000,trig,1.000000,1.000000,1.000330,1.000330,1.000330,1.000330,1.000330,1.000330
signal_2100_1050,jer,1.020441,1.020441,1.000976,1.000976,1.000976,1.000976,1.000976,1.000976
signal_2100_1050,jes,1.061785,1.061785,1.004117,1.004117,1.004117,1.004117,1.004117,1.004117
signal_2100_1050,mid,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000
signal_2100_1050,pu,1.014699,1.014699,1.000264,1.000264,1.000264,1.000264,1.000264,1.000264
signal_2100_1050,trig,1.013212,1.013212,1.000523,1.000523,1.000523,1.000523,1.000523,1.000523
signal_2200_1100,jer,1.017692,1.017692,1.000899,1.000899,1.000899,1.000899,1.000899,1.000899
signal_2200_1100,jes,1.038784,1.038784,1.004565,1.004565,1.004565,1.004565,1.004565,1.004565
signal_2200_1100,mid,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000
signal_2200_1100,pu,1.015190,1.015190,1.001437,1.001437,1.001437,1.001437,1.001437,1.001437
signal_2200_1100,trig,1.000000,1.000000,1.000577,1.000577,1.000577,1.000577,1.000577,1.000577
signal_2300_1150,jer,1.038671,1.038671,1.001304,1.001304,1.001304,1.001304,1.001304,1.001304
signal_2300_1150,jes,1.014039,1.014039,1.003547,1.003547,1.003547,1.003547,1.003547,1.003547
signal_2300_1150,mid,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000
signal_2300_1150,pu,1.029481,1.029481,1.000367,1.000367,1.000367,1.000367,1.000367,1.000367
signal_2300_1150,trig,1.000000,1.000000,1.000474,1.000474,1.000474,1.000474,1.000474,1.000474
signal_2400_1200,jer,1.018645,1.018645,1.000485,1.000485,1.000485,1.000485,1.000485,1.000485
signal_2400_1200,jes,1.067433,1.067433,1.003062,1.003062,1.003062,1.003062,1.003062,1.003062
signal_2400_1200,mid,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000
signal_2400_1200,pu,1.021895,1.021895,1.000470,1.000470,1.000470,1.000470,1.000470,1.000470
signal_2400_1200,trig,1.000000,1.000000,1.000356,1.000356,1.000356,1.000356,1.000356,1.000356
signal_2500_1250,jer,1.020187,1.020187,1.001153,1.001153,1.001153,1.001153,1.001153,1.001153
signal_2500_1250,jes,1.025708,1.025708,1.003741,1.003741,1.003741,1.003741,1.003741,1.003741
signal_2500_1250,mid,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000
signal_2500_1250,pu,1.028752,1.028752,1.000770,1.000770,1.000770,1.000770,1.000770,1.000770
signal_2500_1250,trig,1.000000,1.000000,1.000484,1.000484,1.000484,1.000484,1.000484,1.000484
signal_2600_1300,jer,1.033950,1.033950,1.000648,1.000648,1.000648,1.000648,1.000648,1.000648
signal_2600_1300,jes,1.032037,1.032037,1.003815,1.003815,1.003815,1.003815,1.003815,1.003815
signal_2600_1300,mid,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000
signal_2600_1300,pu,1.002068,1.002068,1.001340,1.001340,1.001340,1.001340,1.001340,1.001340
signal_2600_1300,trig,1.000000,1.000000,1.000428,1.000428,1.000428,1.000428,1.000428,1.000428
signal_2700_1350,jer,1.059275,1.059275,1.001451,1.001451,1.001451,1.001451,1.001451,1.001451
signal_2700_1350,jes,1.080674,1.080674,1.003785,1.003785,1.003785,1.003785,1.003785,1.003785
signal_2700_1350,mid,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000
signal_2700_1350,pu,1.042150,1.042150,1.001747,1.001747,1.001747,1.001747,1.001747,1.001747
signal_2700_1350,trig,1.000000,1.000000,1.000400,1.000400,1.000400,1.000400,1.000400,1.000400
signal_2800_1400,jer,1.026165,1.026165,1.002188,1.002188,1.002188,1.002188,1.002188,1.002188
signal_2800_1400,jes,1.055191,1.055191,1.003827,1.003827,1.003827,1.003827,1.003827,1.003827
signal_2800_1400,mid,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000,1.010000
signal_2800_1400,pu,1.044198,1.044198,1.000691,1.000691,1.000691,1.000691,1.000691,1.000691
signal_2800_1400,trig,1.000000,1.000000,1.000128,1.000128,1.000128,1.000128,1.000128,1.000128
signal_2900_1450,jer,1.003018,1.003018,1.002298,1.002298,1.002298,1.002298,1.002298,1.002298
