#name	dataset	cross_sxn(pb)	cross_sxn_err	total_evts	skimmed_dataset	skimmed_events
# Data	##################################################
DYToEE_powheg_50to120	/ZToEE_NNPDF30_13TeV-powheg_M_50_120/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	-	-	2997600	/ZToEE_NNPDF30_13TeV-powheg_M_50_120/shervin-DYToEE_powheg_50to120_SHv2-e73ab3558da1b418bca464e13b669858/USER	368667
DYToEE_powheg_120to200	/ZToEE_NNPDF30_13TeV-powheg_M_120_200/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	-	-	100000	/ZToEE_NNPDF30_13TeV-powheg_M_120_200/shervin-DYToEE_powheg_120to200_SHv2-e73ab3558da1b418bca464e13b669858/USER	36112
DYToEE_powheg_200to400	/ZToEE_NNPDF30_13TeV-powheg_M_200_400/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	-	-	100000	/ZToEE_NNPDF30_13TeV-powheg_M_200_400/shervin-DYToEE_powheg_200to400_SHv2-e73ab3558da1b418bca464e13b669858/USER	50134
DYToEE_powheg_400to800	/ZToEE_NNPDF30_13TeV-powheg_M_400_800/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	-	-	100000	/ZToEE_NNPDF30_13TeV-powheg_M_400_800/shervin-DYToEE_powheg_400to800_SHv2-e73ab3558da1b418bca464e13b669858/USER	63980
DYToEE_powheg_800to1400	/ZToEE_NNPDF30_13TeV-powheg_M_800_1400/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	-	-	100000	/ZToEE_NNPDF30_13TeV-powheg_M_800_1400/shervin-DYToEE_powheg_800to1400_SHv2-e73ab3558da1b418bca464e13b669858/USER	74880
DYToEE_powheg_1400to2300	/ZToEE_NNPDF30_13TeV-powheg_M_1400_2300/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	-	-	100000	/ZToEE_NNPDF30_13TeV-powheg_M_1400_2300/shervin-DYToEE_powheg_1400to2300_SHv2-e73ab3558da1b418bca464e13b669858/USER	80610
DYToEE_powheg_2300to3500	/ZToEE_NNPDF30_13TeV-powheg_M_2300_3500/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	-	-	100000	/ZToEE_NNPDF30_13TeV-powheg_M_2300_3500/shervin-DYToEE_powheg_2300to3500_SHv2-e73ab3558da1b418bca464e13b669858/USER	83573
DYToEE_powheg_3500to4500	/ZToEE_NNPDF30_13TeV-powheg_M_3500_4500/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	-	-	100000	/ZToEE_NNPDF30_13TeV-powheg_M_3500_4500/shervin-DYToEE_powheg_3500to4500_SHv2-e73ab3558da1b418bca464e13b669858/USER	84836
DYToEE_powheg_6000toInf	/ZToEE_NNPDF30_13TeV-powheg_M_6000_Inf/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM	-	-	100000	/ZToEE_NNPDF30_13TeV-powheg_M_6000_Inf/shervin-DYToEE_powheg_6000toInf_SHv2-e73ab3558da1b418bca464e13b669858/USER	85132
#	##################################
