channel   DY   data/DY   leadLeptPtCut   subleadLeptPtCut   leadJetPtCut   subleadJetPtCut
EE	POWHEG	1.5965	35	31	45	45
EE	MADHT	1.03543	35	31	45	45
 
MuMu	AMC	0.968929	35	31	45	45
MuMu	POWHEG	1.93178	35	31	45	45
MuMu	MADHT	1.19614	35	31	45	45
 
EE	AMC	0.831506	37	29	45	45
EE	POWHEG	1.59128	37	29	45	45
EE	MADHT	1.02419	37	29	45	45
 
MuMu	AMC	0.96142	37	29	45	45
MuMu	POWHEG	1.96228	37	29	45	45
MuMu	MADHT	1.1896	37	29	45	45
 
EE	AMC	0.833086	37	33	45	45
EE	POWHEG	1.56513	37	33	45	45
EE	MADHT	1.03821	37	33	45	45
 
MuMu	AMC	0.971797	37	33	45	45
MuMu	POWHEG	1.86748	37	33	45	45
MuMu	MADHT	1.19834	37	33	45	45
 
EE	AMC	0.829166	40	33	45	45
EE	POWHEG	1.55012	40	33	45	45
EE	MADHT	1.03655	40	33	45	45
 
MuMu	AMC	0.971609	40	33	45	45
MuMu	POWHEG	1.85568	40	33	45	45
MuMu	MADHT	1.20247	40	33	45	45
 
EE	AMC	0.8278	40	35	45	45
EE	POWHEG	1.4921	40	35	45	45
EE	MADHT	1.0396	40	35	45	45
 
MuMu	AMC	0.969723	40	35	45	45
MuMu	POWHEG	1.80485	40	35	45	45
MuMu	MADHT	1.20248	40	35	45	45
 
EE	DYAMC	0.958805	35	35	-10	-10
EE	DYPOWHEG	0.94291	35	35	-10	-10
EE	DYMADHT	0.943522	35	35	-10	-10
 
MuMu	DYAMC	1.01028	35	35	-10	-10
MuMu	DYPOWHEG	0.987367	35	35	-10	-10
MuMu	DYMADHT	0.98079	35	35	-10	-10
 
EE	DYAMC	0.828158	35	35	400	40
EE	DYPOWHEG	2.33911	35	35	400	40
EE	DYMADHT	0.788733	35	35	400	40
 
MuMu	DYAMC	1.06512	35	35	400	40
MuMu	DYPOWHEG	2.95709	35	35	400	40
MuMu	DYMADHT	1.13532	35	35	400	40
 
EE	DYAMC	0.953565	35	35	40	40
EE	DYPOWHEG	1.61761	35	35	40	40
EE	DYMADHT	1.18988	35	35	40	40
 
MuMu	DYAMC	0.974779	35	35	40	40
MuMu	DYPOWHEG	1.72802	35	35	40	40
MuMu	DYMADHT	1.1973	35	35	40	40
 
